SP500_symbol,
AAPL, 
ABT, 
BCR,  
CVC, 
COG,
AMZN, 
CAM, 
CPB, 
C,
CAH, 
HSIC, 
CELG, 
CTL, 
CERN, 
STZ, 
GLW,
INTC,
COST, 
CCI, 
CSX,  
DVA, 
DE,
GOOG, 
DLPH, 
DG, 
D,  
LEN, 
LMT, 
LOW, 
LYB, 
MA, 
MAT, 
R, 
SNDK, 
LUV, 
SBUX,  
UPS, 
URI, 
VIAB, 
V, 
VNO, 
ZION,
PCG,
SWN,
AVGO,
EBAY,
NDAQ,
EQIX,
MCHP,
PPL
